timestamp,open,high,low,close,volume,Ticker
2023-12-06,147.01,147.16,145.64,146.65,7394298,PG
2023-12-05,152.14,152.61,146.18,146.76,11895824,PG
2023-12-04,151.77,152.5332,151.66,152.06,6578318,PG
2023-12-01,153.33,153.49,152.23,152.66,5685434,PG
2023-11-30,150.9,153.63,150.08,153.52,9771509,PG
2023-11-29,152.29,152.45,150.99,151.13,5342709,PG
2023-11-28,151.145,152.772,151.145,152.29,6110455,PG
2023-11-27,151.52,151.64,150.74,151.24,6021326,PG
2023-11-24,151.18,151.74,151.03,151.38,2132494,PG
2023-11-22,150.1,151.48,150.1,151.02,4373087,PG
2023-11-21,149.85,150.01,148.83,149.61,7310387,PG
2023-11-20,150.21,151.03,149.66,150.27,6857809,PG
2023-11-17,152.72,152.84,150.89,151.07,8495710,PG
2023-11-16,151.99,152.89,151.31,152.83,7590516,PG
2023-11-15,152.055,152.39,150.38,151.42,7672848,PG
2023-11-14,152.55,153.5,151.6801,152.12,7982631,PG
2023-11-13,151.445,152.9,151.445,152.46,6297527,PG
2023-11-10,150.84,151.44,149.92,151.41,5387350,PG
2023-11-09,149.74,150.35,149.12,150.35,6581536,PG
2023-11-08,150.955,151.2,149.51,150.01,4832618,PG
2023-11-07,150.92,151.25,150.12,150.59,6003843,PG
2023-11-06,150.36,151.25,150.1,150.94,6480898,PG
2023-11-03,151.79,152.29,149.615,150.07,6587879,PG
2023-11-02,149.54,151.65,148.91,151.44,5859285,PG
2023-11-01,150.68,150.68,149.21,149.61,5896946,PG
2023-10-31,149.46,150.255,148.64,150.03,6762155,PG
2023-10-30,147.9,149.55,147.54,149.26,5412866,PG
2023-10-27,148.98,149.95,146.28,147.16,8131875,PG
2023-10-26,151.05,151.38,149.74,149.8,7582052,PG
2023-10-25,149.635,151.19,149.12,150.6,6172937,PG
2023-10-24,148.12,150.07,148.07,149.9,6322218,PG
2023-10-23,147.86,149.5,147.56,148.15,5981784,PG
2023-10-20,149.05,149.88,147.92,148.05,7284217,PG
2023-10-19,149.61,150.28,147.18,148.25,8145959,PG
2023-10-18,150.06,151.3,148.77,150.03,10508470,PG
2023-10-17,146.11,146.825,145.24,146.26,6160115,PG
2023-10-16,145.86,147.06,145.46,146.07,6509765,PG
2023-10-13,143.19,145.03,143.19,144.69,7079323,PG
2023-10-12,142.79,143.93,141.66,143.32,5965604,PG
2023-10-11,145.14,145.56,142.56,143.0,5469148,PG
2023-10-10,143.98,145.22,143.72,144.78,5988917,PG
2023-10-09,143.36,143.97,141.6,143.36,5062170,PG
2023-10-06,143.6,144.555,141.45,144.09,7406682,PG
2023-10-05,145.68,146.0943,143.69,143.8,5205662,PG
2023-10-04,145.59,146.31,144.93,145.97,4727849,PG
2023-10-03,145.17,146.49,145.01,145.49,4670620,PG
2023-10-02,144.78,145.6,143.9,145.19,5153808,PG
2023-09-29,146.54,146.77,144.82,145.86,6683279,PG
2023-09-28,147.815,147.98,145.68,146.34,6237072,PG
2023-09-27,149.42,149.7,146.63,147.34,5403675,PG
2023-09-26,149.98,150.36,148.785,149.32,6366545,PG
2023-09-25,151.18,151.28,150.02,150.66,5527129,PG
2023-09-22,152.44,153.34,151.38,151.58,6328163,PG
2023-09-21,153.45,153.71,152.065,152.14,5098146,PG
2023-09-20,153.77,154.775,153.36,153.47,5446571,PG
2023-09-19,153.75,154.06,151.7433,153.6,4704209,PG
2023-09-18,154.45,154.475,153.505,154.05,3536490,PG
2023-09-15,154.03,155.32,153.23,153.47,10262391,PG
2023-09-14,153.845,154.92,153.37,154.77,4606909,PG
2023-09-13,151.975,153.59,151.66,153.09,4040670,PG
2023-09-12,154.99,155.15,151.57,152.03,4537794,PG
2023-09-11,153.33,155.1,153.08,154.75,4288731,PG
2023-09-08,153.42,153.455,152.35,152.93,3384760,PG
2023-09-07,152.485,154.19,152.37,153.59,4825042,PG
2023-09-06,152.29,152.45,151.54,152.14,3877460,PG
2023-09-05,153.8,154.85,152.3975,152.44,5097037,PG
2023-09-01,154.9,155.28,153.56,154.51,4126437,PG
2023-08-31,154.12,155.16,153.83,154.34,5451433,PG
2023-08-30,154.1,154.865,153.71,154.04,3712241,PG
2023-08-29,153.95,154.04,152.03,153.87,4034627,PG
2023-08-28,153.71,154.37,153.05,153.78,3614733,PG
2023-08-25,153.4,154.08,152.46,153.54,3541524,PG
2023-08-24,152.55,154.68,152.48,152.54,4089013,PG
2023-08-23,152.47,153.48,152.47,153.25,4522673,PG
2023-08-22,151.42,152.1538,150.93,151.83,4195967,PG
2023-08-21,152.09,152.78,151.26,151.77,4504747,PG
2023-08-18,151.62,152.89,151.17,152.54,5448262,PG
2023-08-17,153.21,153.555,151.79,152.11,6419615,PG
2023-08-16,154.76,155.73,152.87,153.21,6356849,PG
2023-08-15,155.79,155.97,154.46,154.79,6921105,PG
2023-08-14,157.13,157.53,155.5,155.79,4297598,PG
2023-08-11,156.43,157.464,155.79,157.02,3862326,PG
2023-08-10,157.17,158.38,155.8,156.11,4307834,PG
2023-08-09,157.31,158.09,156.77,156.89,4293200,PG
2023-08-08,157.28,157.63,156.5309,157.09,4625619,PG
2023-08-07,155.67,157.15,155.49,156.92,4107366,PG
2023-08-04,157.425,157.73,155.15,155.28,4785929,PG
2023-08-03,156.76,157.7,156.21,157.0,5792784,PG
2023-08-02,155.97,157.73,155.97,156.59,5637323,PG
2023-08-01,155.88,157.17,155.87,156.25,5719138,PG
2023-07-31,156.4,157.68,155.06,156.3,7955343,PG
2023-07-28,154.66,157.48,154.6,156.41,9397878,PG
2023-07-27,154.155,154.6,151.915,152.11,7191578,PG
2023-07-26,153.12,154.84,152.89,153.94,7013794,PG
2023-07-25,153.48,153.86,152.45,153.78,5883845,PG
2023-07-24,152.84,153.95,152.3,153.42,5549519,PG
2023-07-21,151.15,153.67,150.7,152.93,9938441,PG
2023-07-20,149.55,150.75,148.14,150.56,6445552,PG
2023-07-19,149.55,150.82,148.86,150.29,6203584,PG
2023-07-18,148.64,150.48,148.38,149.27,5355185,PG
2023-07-17,149.65,150.16,148.97,148.99,4626029,PG
