timestamp,open,high,low,close,volume,Ticker
2023-12-06,325.0,328.31,324.21,326.11,3023307,HD
2023-12-05,322.0,323.919,320.01,323.5,3269803,HD
2023-12-04,319.62,325.08,318.96,324.02,3827910,HD
2023-12-01,313.83,320.1,313.0,319.62,3613808,HD
2023-11-30,312.54,313.76,308.5939,313.49,4493669,HD
2023-11-29,314.06,314.06,310.91,311.02,3084028,HD
2023-11-28,310.71,314.58,309.39,313.34,3116918,HD
2023-11-27,310.69,312.89,309.75,310.92,2992573,HD
2023-11-24,309.18,311.38,308.31,310.7,1259937,HD
2023-11-22,307.39,309.86,306.475,309.2,2873635,HD
2023-11-21,305.57,306.07,302.34,305.34,2977410,HD
2023-11-20,307.19,309.67,305.74,308.19,3459474,HD
2023-11-17,308.5,308.715,305.45,307.27,2770460,HD
2023-11-16,305.88,307.9499,304.33,306.44,3114150,HD
2023-11-15,304.1,308.93,304.01,308.19,3985937,HD
2023-11-14,300.89,308.2399,300.1401,303.63,7952845,HD
2023-11-13,287.79,289.9307,287.24,288.07,4586705,HD
2023-11-10,289.23,291.59,286.79,291.59,3653772,HD
2023-11-09,291.95,292.7389,287.68,287.87,4059121,HD
2023-11-08,295.03,298.01,294.11,295.92,2455045,HD
2023-11-07,294.61,296.0,293.56,294.77,2628960,HD
2023-11-06,294.75,296.44,293.2225,294.57,2890444,HD
2023-11-03,294.18,297.81,294.17,295.61,3071885,HD
2023-11-02,290.25,294.66,290.0,294.53,3627985,HD
2023-11-01,285.59,286.83,282.0201,286.63,2747346,HD
2023-10-31,282.59,285.4,281.615,284.69,3035976,HD
2023-10-30,277.47,282.32,276.96,281.48,3074607,HD
2023-10-27,278.98,279.67,274.26,276.46,2907338,HD
2023-10-26,280.53,283.24,277.75,278.0,3108175,HD
2023-10-25,281.75,283.23,279.2,280.93,2962761,HD
2023-10-24,286.74,287.9067,282.0301,283.31,2705199,HD
2023-10-23,285.82,288.2463,284.33,285.07,2591071,HD
2023-10-20,285.86,287.177,283.61,286.41,2885301,HD
2023-10-19,291.0,291.34,286.42,286.77,3028600,HD
2023-10-18,293.0,293.3299,289.585,290.24,2720098,HD
2023-10-17,296.69,298.36,294.5,295.94,2139844,HD
2023-10-16,294.43,298.37,293.5801,297.33,2567037,HD
2023-10-13,292.94,294.7263,290.89,291.92,2092894,HD
2023-10-12,297.7,297.7,290.77,293.02,2546429,HD
2023-10-11,299.74,300.85,295.9,298.05,2292761,HD
2023-10-10,296.69,300.67,295.1701,299.22,3116433,HD
2023-10-09,290.3,295.53,289.68,295.36,1930103,HD
2023-10-06,290.76,294.535,287.39,292.82,2922456,HD
2023-10-05,292.0,292.67,290.235,291.7,2469265,HD
2023-10-04,293.36,294.21,290.36,292.39,2956313,HD
2023-10-03,297.91,298.2952,290.0717,291.94,3609222,HD
2023-10-02,300.52,303.45,298.46,299.83,2807021,HD
2023-09-29,304.95,305.67,299.82,302.16,3502578,HD
2023-09-28,301.67,304.8722,300.75,303.49,2369593,HD
2023-09-27,303.0,304.22,299.9,301.82,2513914,HD
2023-09-26,304.52,305.81,301.63,302.54,2655576,HD
2023-09-25,304.51,307.29,304.51,306.49,1882366,HD
2023-09-22,306.16,307.65,305.46,305.73,2289219,HD
2023-09-21,309.4,310.225,306.355,306.76,2767805,HD
2023-09-20,315.0,316.35,310.8,310.86,2320403,HD
2023-09-19,315.95,316.9325,312.34,314.61,2776594,HD
2023-09-18,320.16,321.65,316.91,317.26,2740425,HD
2023-09-15,327.32,329.17,320.33,321.4,7117755,HD
2023-09-14,327.39,330.3,325.27,329.63,2707576,HD
2023-09-13,326.04,327.96,325.0,325.88,2564520,HD
2023-09-12,326.83,328.77,325.89,326.28,2190597,HD
2023-09-11,329.29,329.88,327.57,328.37,2087856,HD
2023-09-08,327.5,329.49,326.68,328.71,2211132,HD
2023-09-07,325.03,329.92,324.3,328.42,2453979,HD
2023-09-06,327.53,328.6072,325.555,326.0,3199736,HD
2023-09-05,331.84,332.3,327.3674,327.78,3141630,HD
2023-09-01,332.0,333.45,331.14,333.08,2317413,HD
2023-08-31,331.2,332.5999,329.675,330.3,2914712,HD
2023-08-30,328.0,331.62,327.87,330.63,2256151,HD
2023-08-29,326.79,329.84,326.7671,329.38,2628221,HD
2023-08-28,323.2,327.44,322.87,325.91,2100114,HD
2023-08-25,323.43,326.34,321.2,322.86,2418103,HD
2023-08-24,325.12,329.0,322.305,322.59,2490159,HD
2023-08-23,324.52,326.929,324.08,326.09,2728024,HD
2023-08-22,325.27,326.31,322.03,324.48,2582234,HD
2023-08-21,326.61,327.87,323.5,324.06,3109678,HD
2023-08-18,325.06,328.89,324.425,327.37,3471953,HD
2023-08-17,333.77,335.65,327.06,327.28,3885098,HD
2023-08-16,332.62,337.81,331.68,333.03,3753910,HD
2023-08-15,331.76,338.17,328.52,332.14,5860938,HD
2023-08-14,331.46,333.79,328.4301,329.95,3974759,HD
2023-08-11,328.52,331.59,328.35,331.11,3108422,HD
2023-08-10,330.66,332.895,328.94,329.4,3075122,HD
2023-08-09,327.35,330.92,326.7601,328.21,2698894,HD
2023-08-08,326.58,328.525,323.39,327.81,3272766,HD
2023-08-07,327.21,329.405,326.5883,329.17,2111166,HD
2023-08-04,328.16,329.5199,325.33,326.43,3591635,HD
2023-08-03,327.68,332.1,327.64,329.85,2452330,HD
2023-08-02,330.03,332.53,327.92,328.5,2753888,HD
2023-08-01,331.76,334.97,330.88,332.07,2547410,HD
2023-07-31,331.65,334.07,331.48,333.84,2690587,HD
2023-07-28,332.0,333.0,329.5,331.37,2268947,HD
2023-07-27,331.71,333.435,328.93,329.71,2608561,HD
2023-07-26,324.69,330.96,324.24,329.59,3448123,HD
2023-07-25,325.07,326.9,323.8324,325.13,2890828,HD
2023-07-24,320.97,325.66,320.945,325.11,2621982,HD
2023-07-21,321.07,321.89,319.49,320.47,3673354,HD
